Year,UNIT_MEASURE,Administrativna jedinica,Poljoprivredna aktivnost,Value
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,715739
2013,Broj,Federacija Bosne i Hercegovine,Obavljanje poljoprivredne aktivnosti,217061
2013,Broj,Federacija Bosne i Hercegovine,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,30089
2013,Broj,Unsko-sanski kanton,Ukupno,78267
2013,Broj,Unsko-sanski kanton,Obavljanje poljoprivredne aktivnosti,23945
2013,Broj,Unsko-sanski kanton,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,4547
2013,Broj,Posavski kanton,Ukupno,13313
2013,Broj,Posavski kanton,Obavljanje poljoprivredne aktivnosti,3960
2013,Broj,Posavski kanton,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,834
2013,Broj,Tuzlanski kanton,Ukupno,150607
2013,Broj,Tuzlanski kanton,Obavljanje poljoprivredne aktivnosti,56033
2013,Broj,Tuzlanski kanton,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,6242
2013,Broj,Zeničko-dobojski kanton,Ukupno,121156
2013,Broj,Zeničko-dobojski kanton,Obavljanje poljoprivredne aktivnosti,47622
2013,Broj,Zeničko-dobojski kanton,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,5385
2013,Broj,Bosansko-podrinjski kanton,Ukupno,8670
2013,Broj,Bosansko-podrinjski kanton,Obavljanje poljoprivredne aktivnosti,3373
2013,Broj,Bosansko-podrinjski kanton,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,462
2013,Broj,Srednjobosanski kanton,Ukupno,77889
2013,Broj,Srednjobosanski kanton,Obavljanje poljoprivredne aktivnosti,31489
2013,Broj,Srednjobosanski kanton,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,4989
2013,Broj,Hercegovačko-neretvanski kanton,Ukupno,68121
2013,Broj,Hercegovačko-neretvanski kanton,Obavljanje poljoprivredne aktivnosti,17696
2013,Broj,Hercegovačko-neretvanski kanton,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,3808
2013,Broj,Zapadno-hercegovački kanton,Ukupno,25081
2013,Broj,Zapadno-hercegovački kanton,Obavljanje poljoprivredne aktivnosti,9592
2013,Broj,Zapadno-hercegovački kanton,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,1161
2013,Broj,Kanton Sarajevo,Ukupno,148871
2013,Broj,Kanton Sarajevo,Obavljanje poljoprivredne aktivnosti,16112
2013,Broj,Kanton Sarajevo,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,1241
2013,Broj,Kanton 10,Ukupno,23764
2013,Broj,Kanton 10,Obavljanje poljoprivredne aktivnosti,7239
2013,Broj,Kanton 10,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,1420
